id,chart_template_id/id,name,description,amount_type,amount,type_tax_use,price_include,refund_account_id/id,account_id/id,include_base_amount,sequence,children_tax_ids/id,tag_ids/id
account_tax_D01b,account_chart_si_gd,Prodaja SLO 22% - bruto,P_SLO_B_22,percent,22,sale,True,account_account_260000,account_account_260000,False,1,,P_SLO_B_22
account_tax_D01n,account_chart_si_gd,Prodaja SLO 22% - neto,P_SLO_N_22,percent,22,sale,False,account_account_260000,account_account_260000,False,1,,P_SLO_N_22
account_tax_D02b,account_chart_si_gd,"Prodaja SLO 9,5% - bruto",P_SLO_B_9_5,percent,9.5,sale,True,account_account_260001,account_account_260001,False,1,,P_SLO_B_9_5
account_tax_D02n,account_chart_si_gd,"Prodaja SLO 9,5% - neto",P_SLO_N_9_5,percent,9.5,sale,False,account_account_260001,account_account_260001,False,1,,P_SLO_N_9_5
account_tax_D03,account_chart_si_gd,DDV ni obračunan po 1.točki 52.čl. ZDDV-1. (Izvoz),ZDDV-52-1,percent,,sale,False,,,False,1,,ZDDV-52-1
account_tax_D04,account_chart_si_gd,DDV ni obračunan po 1.točki 46.čl. ZDDV-1. (Dobave storitev EU),ZDDV-46-1-S,percent,,sale,False,,,False,1,,ZDDV-46-1-S
account_tax_D05,account_chart_si_gd,DDV ni obračunan po 1.točki 46.čl. ZDDV-1. (Dobave blaga v EU),ZDDV-46-1-B,percent,,sale,False,,,False,1,,ZDDV-46-1-B
account_tax_D061,account_chart_si_gd,DDV ni obračunan po 76a. čl. ZDDV-1. (Obrnjena davčna obveznost) – osnova,ZDDV-76a-O,percent,22,sale,False,,,False,2,,ZDDV-76a-O
account_tax_D062,account_chart_si_gd,DDV ni obračunan po 76a. čl. ZDDV-1. (Obrnjena davčna obveznost) – davek,ZDDV-76a-D,percent,-22,sale,False,,,False,2,,ZDDV-76a-D
account_tax_D06,account_chart_si_gd,DDV ni obračunan po 76a. čl. ZDDV-1. (Obrnjena davčna obveznost),ZDDV-76a,group,,sale,False,,,False,1,"account_tax_D061,account_tax_D062",ZDDV-76a
account_tax_D07,account_chart_si_gd,DDV ni obračunan po 2. odstavku 49.čl. ZDDV-1. (Mednarodni prevoz),ZDDV-49-2,percent,,sale,False,,,False,1,,ZDDV-49-2
account_tax_D20b,account_chart_si_gd,Nabava SLO 22% - bruto,N_SLO_B_22,percent,22,purchase,True,account_account_160000,account_account_160000,False,1,,N_SLO_B_22
account_tax_D20n,account_chart_si_gd,Nabava SLO 22% - neto,N_SLO_N_22,percent,22,purchase,False,account_account_160000,account_account_160000,False,1,,N_SLO_N_22
account_tax_D21b,account_chart_si_gd,"Nabava SLO 9,5% - bruto",N_SLO_B_9_5,percent,9.5,purchase,True,account_account_160001,account_account_160001,False,1,,N_SLO_B_9_5
account_tax_D21n,account_chart_si_gd,"Nabava SLO 9,5% - neto",N_SLO_N_9_5,percent,9.5,purchase,False,account_account_160001,account_account_160001,False,1,,N_SLO_N_9_5
account_tax_D22b,account_chart_si_gd,ECL 22% - bruto,N_ECL_B_22,percent,22,purchase,True,account_account_160004,account_account_160004,False,1,,N_ECL_B_22
account_tax_D22n,account_chart_si_gd,ECL 22% - neto,N_ECL_N_22,percent,22,purchase,False,account_account_160004,account_account_160004,False,1,,N_ECL_N_22
account_tax_D23b,account_chart_si_gd,"ECL 9,5% - bruto",N_ECL_B_9_5,percent,9.5,purchase,True,account_account_160005,account_account_160005,False,1,,N_ECL_B_9_5
account_tax_D23n,account_chart_si_gd,"ECL 9,5% - neto",N_ECL_N_9_5,percent,9.5,purchase,False,account_account_160005,account_account_160005,False,1,,N_ECL_N_9_5
account_tax_D24b1,account_chart_si_gd,Nabava EU 22% - bruto – vstopni,N_EU_B_22_IN,percent,22,purchase,True,account_account_160002,account_account_160002,False,2,,N_EU_B_22_IN
account_tax_D24b2,account_chart_si_gd,Nabava EU 22% - bruto – izstopni,N_EU_B_22_OUT,percent,-22,purchase,True,account_account_260000,account_account_260000,False,2,,N_EU_B_22_OUT
account_tax_D24b,account_chart_si_gd,Nabava EU 22% - bruto,N_EU_B_22,group,,purchase,True,,,False,1,"account_tax_D24b1,account_tax_D24b2",N_EU_B_22
account_tax_D24n1,account_chart_si_gd,Nabava EU 22% - neto – vstopni,N_EU_N_22_IN,percent,22,purchase,False,account_account_160002,account_account_160002,False,2,,N_EU_N_22_IN
account_tax_D24n2,account_chart_si_gd,Nabava EU 22% - neto – izstopni,N_EU_N_22_OUT,percent,-22,purchase,False,account_account_260000,account_account_260000,False,2,,N_EU_N_22_OUT
account_tax_D24n,account_chart_si_gd,Nabava EU 22% - neto,N_EU_N_22,group,,purchase,False,,,False,1,"account_tax_D24n1,account_tax_D24n2",N_EU_N_22
account_tax_D25b1,account_chart_si_gd,"Nabava EU 9,5% - bruto – vstopni",N_EU_B_9_5_IN,percent,9.5,purchase,True,account_account_160003,account_account_160003,False,2,,N_EU_B_9_5_IN
account_tax_D25b2,account_chart_si_gd,"Nabava EU 9,5% - bruto – izstopni",N_EU_B_9_5_OUT,percent,-9.5,purchase,True,account_account_260001,account_account_260001,False,2,,N_EU_B_9_5_OUT
account_tax_D25b,account_chart_si_gd,"Nabava EU 9,5% - bruto",N_EU_B_9_5,group,,purchase,True,,,False,1,"account_tax_D25b1,account_tax_D25b2",N_EU_B_9_5
account_tax_D25n1,account_chart_si_gd,"Nabava EU 9,5% - neto – vstopni",N_EU_N_9_5_IN,percent,9.5,purchase,False,account_account_160003,account_account_160003,False,2,,N_EU_N_9_5_IN
account_tax_D25n2,account_chart_si_gd,"Nabava EU 9,5% - neto – izstopni",N_EU_N_9_5_OUT,percent,-9.5,purchase,False,account_account_260001,account_account_260001,False,2,,N_EU_N_9_5_OUT
account_tax_D25n,account_chart_si_gd,"Nabava EU 9,5% - neto",N_EU_N_9_5,group,,purchase,False,,,False,1,"account_tax_D25n1,account_tax_D25n2",N_EU_N_9_5
account_tax_D26b1,account_chart_si_gd,Nabava 76a. čl. 22% - bruto – vstopni,N_76_B_22_IN,percent,22,purchase,True,account_account_160002,account_account_160002,False,2,,N_76_B_22_IN
account_tax_D26b2,account_chart_si_gd,Nabava 76a. čl. 22% - bruto – izstopni,N_76_B_22_OUT,percent,-22,purchase,True,account_account_260000,account_account_260000,False,2,,N_76_B_22_OUT
account_tax_D26b,account_chart_si_gd,Nabava 76a. čl. 22% - bruto,N_76_B_22,group,,purchase,True,,,False,1,"account_tax_D26b1,account_tax_D26b2",N_76_B_22
account_tax_D26n1,account_chart_si_gd,Nabava 76a. čl. 22% - neto – vstopni,N_76_N_22_IN,percent,22,purchase,False,account_account_160002,account_account_160002,False,2,,N_76_N_22_IN
account_tax_D26n2,account_chart_si_gd,Nabava 76a. čl. 22% - neto – izstopni,N_76_N_22_OUT,percent,-22,purchase,False,account_account_260000,account_account_260000,False,2,,N_76_N_22_OUT
account_tax_D26n,account_chart_si_gd,Nabava 76a. čl. 22% - neto,N_76_N_22,group,,purchase,False,,,False,1,"account_tax_D26n1,account_tax_D26n2",N_76_N_22
account_tax_D27b,account_chart_si_gd,Neodbitni DDV 22% - bruto,NX_22_B,percent,,purchase,False,,,False,1,,NX_22_B
account_tax_D27n,account_chart_si_gd,Neodbitni DDV 22% - neto,NX_22_N,percent,,purchase,False,,,False,1,,NX_22_N
account_tax_D28b,account_chart_si_gd,"Neodbitni DDV 9,5% - bruto",NX_9_5_B,percent,,purchase,False,,,False,1,,NX_9_5_B
account_tax_D28n,account_chart_si_gd,"Neodbitni DDV 9,5% - neto",NX_9_5_N,percent,,purchase,False,,,False,1,,NX_9_5_N
account_tax_D29,account_chart_si_gd,Oproščen neobdavčen promet,N_0,percent,,purchase,False,,,False,1,,N_0
account_tax_D30,account_chart_si_gd,Neobdavčen promet – izstopni,NS_0,percent,,sale,False,,,False,1,,NS_0
account_tax_D31,account_chart_si_gd,Neobdavčen promet – vstopni,NN_0,percent,,purchase,False,,,False,1,,NN_0
